user_id,film_id,rating
1,464735,1.5
1,527671,4.0
1,268950,3.0
1,509662,2.5
1,429945,2.0
1,257426,4.0
1,51292,3.5
1,426406,4.5
1,508990,3.0
1,485519,4.0
1,240344,4.0
1,462063,3.5
1,358271,2.5
1,37833,4.0
1,187986,3.0
1,51097,3.5
1,48140,5.0
1,362362,2.0
1,106262,3.0
1,50659,3.5
1,395045,2.0
1,51701,2.5
1,50942,4.0
1,39304,2.5
1,50712,3.0
1,190077,2.5
1,51898,3.5
1,34722,4.0
1,506032,3.0
1,117621,3.0
1,418135,4.0
1,56522,3.5
1,51778,4.5
1,46779,1.5
1,48791,2.5
1,48298,0.5
1,150541,1.0
1,251940,1.0
1,77748,1.5
1,39067,3.0
1,521531,4.0
1,51339,3.0
1,39551,1.0
1,50937,2.0
1,7699,0.5
1,423560,3.0
1,8013,2.5
1,47112,2.5
1,242710,3.0
1,51478,2.0
1,46964,0.5
1,2695,2.5
1,37696,2.0
1,59281,2.5
1,45780,2.0
1,51426,1.0
1,247014,2.5
1,478361,2.5
1,246108,3.0
1,251773,2.5
1,51408,2.5
1,223396,4.0
1,92619,1.5
1,57376,2.0
1,326477,3.0
1,51537,3.0
1,46144,0.5
1,147597,2.0
1,148200,3.5
1,5363,3.5
1,74348,2.5
1,379626,1.5
1,474471,3.0
1,51205,2.5
1,51206,3.0
1,223838,3.5
1,51467,2.5
1,905876,1.0
1,283209,3.0
1,45918,2.0
1,834561,3.5
1,1071196,4.0
1,446482,3.0
1,841985,3.0
1,45409,3.0
1,617443,3.5
1,47994,3.0
1,39352,3.5
1,368685,3.0
1,45411,2.5
1,139271,2.0
1,752626,4.0
1,51960,3.0
1,48012,2.5
1,51935,3.5
1,755564,3.5
1,449889,2.5
1,681266,4.0
1,4334,3.0
1,845706,3.0
1,51556,3.5
1,495192,3.5
1,936569,0.5
1,706083,4.0
1,450334,3.0
1,190407,0.5
1,79787,3.0
1,268192,4.0
1,710073,2.5
1,47756,3.5
1,784328,4.0
1,432302,3.0
1,268945,2.5
1,40276,2.5
1,50573,2.5
1,497631,4.0
1,161002,2.5
1,668555,3.5
1,574385,2.5
1,452289,3.0
1,34394,2.0
1,908010,3.0
1,53282,3.0
1,753106,3.0
1,703943,2.5
1,724225,4.0
1,508246,4.0
1,46049,2.5
1,451717,3.0
1,46510,3.5
1,433461,1.5
1,436443,3.0
1,571339,3.0
1,586723,3.5
1,598882,4.0
1,793883,3.0
1,686510,2.5
1,278308,2.5
1,446917,2.0
1,695473,4.5
1,237378,3.0
1,682547,3.5
1,277023,4.0
1,92160,4.0
1,39386,3.0
1,80349,3.5
1,434753,3.0
1,44845,2.5
1,47809,4.0
1,51297,2.5
1,333654,3.0
1,48918,3.5
1,51551,3.0
1,541998,3.0
1,511342,4.0
1,263201,2.0
1,475370,4.0
1,51111,0.5
1,51295,4.5
1,51084,3.5
1,45016,4.0
1,193748,3.0
1,480099,4.0
1,293465,3.0
1,41958,3.0
1,16095,3.0
1,197628,3.0
1,333448,3.5
1,70105,3.5
1,371378,4.0
1,26476,3.5
1,480875,3.0
1,737578,4.0
1,241430,3.5
1,348914,3.0
1,641086,4.0
1,696630,4.0
1,680438,3.0
1,572255,3.5
1,146954,3.0
1,527841,2.5
1,14707,3.0
1,47188,2.5
1,438751,4.0
1,305964,3.5
1,62911,1.5
1,51890,3.0
1,51542,3.0
1,2477,2.5
1,38272,3.0
1,46937,3.5
1,396682,2.5
1,460155,4.0
1,51674,3.5
1,51342,1.0
1,51343,1.5
1,51344,2.0
1,50224,2.5
1,36778,2.5
1,43860,3.0
1,87964,3.5
1,51507,2.5
1,52501,3.5
1,316315,2.0
1,50159,3.5
1,739775,4.0
1,46344,4.5
1,46911,4.5
1,51271,4.0
1,50225,3.0
1,46136,3.5
1,427807,3.0
1,51405,2.5
1,164342,3.5
1,390520,3.5
1,251943,4.0
1,213190,2.0
1,104174,2.0
1,182910,2.0
1,51671,4.0
1,226661,3.0
1,226660,3.0
1,6286,3.5
1,225026,1.5
1,51929,3.5
1,51928,3.5
1,45994,4.0
1,51930,3.5
1,51896,4.0
1,220575,3.5
1,26711,3.5
1,51484,3.5
1,86114,3.5
1,44580,3.0
1,337565,5.0
1,362365,2.0
1,44581,3.0
1,51385,3.0
1,50809,3.0
1,51449,2.0
1,51450,3.0
1,51451,2.5
1,51452,2.5
1,51453,3.5
1,57292,1.0
1,41352,4.5
1,51781,5.0
1,95113,4.5
1,47303,2.5
1,291610,4.5
1,51782,4.5
1,50518,3.5
1,251872,3.5
1,379687,4.0
1,43302,4.0
1,51261,3.5
1,96552,1.0
1,8983,1.5
1,16525,1.0
1,26779,3.5
1,246013,4.0
1,378725,3.5
1,51444,4.0
1,51610,4.5
1,27256,4.0
1,50710,1.5
1,485309,4.5
1,51518,4.5
1,258128,3.5
1,131984,2.0
1,50709,2.5
1,47219,3.5
1,131987,2.0
1,107418,3.0
1,50711,2.0
1,86991,3.0
1,49210,5.0
1,310199,3.5
1,51416,1.5
1,50713,4.0
1,301040,3.0
1,51527,3.5
1,269475,0.5
1,2706,4.0
1,209381,2.5
1,397859,3.5
1,406775,3.0
2,359349,1.0
2,938080,0.5
2,456327,1.0
2,560697,1.0
2,811802,1.0
2,398800,4.5
2,691990,0.5
2,379257,0.5
2,51929,2.5
2,424003,2.5
2,45994,4.0
2,822093,4.5
2,51930,3.0
2,710352,4.5
2,835774,2.5
2,378048,2.5
2,845706,3.0
2,681266,3.0
2,936569,0.5
2,706083,3.0
2,104996,1.0
2,908144,4.0
2,371792,0.5
2,357682,2.5
2,595029,3.0
2,496592,3.0
2,1007985,3.0
2,190407,0.5
2,591053,4.0
2,710073,2.5
2,242285,3.5
2,840863,4.0
2,50893,2.0
2,551829,0.5
2,542463,1.0
2,276291,1.5
2,784328,4.0
2,277064,3.5
2,379711,3.5
2,51935,4.5
2,50995,2.0
2,14887,2.5
2,721333,2.0
2,50573,2.5
2,668555,4.0
2,51414,2.5
2,13972,1.0
2,237177,3.5
2,547317,4.0
2,497631,4.0
2,715856,4.0
2,45635,2.5
2,586944,3.0
2,724225,4.0
2,908010,4.0
2,53282,3.0
2,753106,2.5
2,508246,4.0
2,46049,3.5
2,451717,2.5
2,433461,1.0
2,887621,2.0
2,427970,3.5
2,16530,3.5
2,542032,2.0
2,293465,3.0
2,574385,2.0
2,781326,3.5
2,721288,4.0
2,696310,4.0
2,51765,4.0
2,44980,3.0
2,993949,3.5
2,912810,4.0
2,1027937,3.0
2,478428,4.5
2,46330,4.0
2,509212,1.0
2,223838,3.0
2,51467,2.5
2,991786,4.0
2,989125,3.0
2,51736,2.0
2,482905,0.5
2,351806,1.0
2,328538,4.5
2,359505,4.0
2,834561,4.0
2,877253,4.0
2,51905,3.5
2,337036,3.0
2,51207,2.5
2,20288,0.5
2,959540,4.0
2,446482,2.5
2,750566,3.0
2,806907,3.0
2,465649,2.5
2,37598,3.5
2,651226,3.0
2,1010683,2.5
2,913258,3.5
2,926589,4.5
2,1200876,3.5
2,901671,4.0
2,1071196,4.0
2,201793,1.5
2,178264,2.0
2,46443,2.0
2,520328,3.5
2,47469,2.0
2,838140,4.0
2,147597,2.0
2,370178,2.5
2,850459,3.5
2,51445,3.5
2,27733,2.0
2,51490,2.5
2,641961,2.5
2,434753,2.5
2,648869,2.5
2,772230,4.0
2,1110059,3.0
2,462870,2.5
2,51640,3.0
2,44010,1.5
2,829364,4.0
2,733416,1.0
2,45658,1.0
2,682535,2.5
2,51714,4.5
2,752626,4.0
2,436948,1.5
2,309105,0.5
2,853011,4.0
2,861250,3.5
2,842301,4.0
2,278058,0.5
2,617443,4.0
2,843415,4.0
2,398009,4.0
2,453069,3.0
2,952812,4.0
2,50937,1.0
2,8013,1.0
2,242710,3.0
2,50949,2.5
2,536952,3.0
2,26779,3.5
2,285,3.5
2,425862,4.0
2,209382,3.5
2,251943,3.5
2,226660,3.0
